553fb28419043c0b29be84a7,El Corazon,This Legend,$10 ,5/4/2015 7:00pm,5/4/2015 9:00pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,The Creepshow,$11 ,5/5/2015 7:00pm,5/5/2015 9:00pm,start,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553fb28419043c0b29be84a7,El Corazon,Sick of Sarah,$10 ,5/7/2015 7:00pm,5/7/2015 9:30pm,end,"55352fda846af9640a518a04,55352fda846af9640a518a05"
553d30885f61dd04261b8679,Foundation Night Club,Progression Saturday,Shogun,5/2/2015 9:00pm,5/3/2015 2:00am,end,"55352fda846af9640a518a04,55352fda846af9640a518a07,55352fda846af9640a518a05"
553d30885f61dd04261b8679,Foundation Night Club,Substance Wednesdays,"Skism, Must Die, Habstrakt",5/13/2015 9:00pm,5/14/2015 2:00am,end,"55352fda846af9640a518a04,55352fda846af9640a518a07,55352fda846af9640a518a05"
553d30885f61dd04261b8679,Foundation Night Club,Resonate Fridays,Chuckie W/Gregory Klosman,5/15/2015 9:00pm,5/16/2015 2:00am,end ,"55352fda846af9640a518a04,55352fda846af9640a518a07,55352fda846af9640a518a05"
553d30885f61dd04261b8679,Foundation Night Club,Progression Saturday,Adrian Lux & Lost Kings,5/16/2015 9:00pm,5/17/2015 2:00am,end,"55352fda846af9640a518a04,55352fda846af9640a518a07,55352fda846af9640a518a05"
553d30885f61dd04261b8679,Foundation Night Club,Substance Wednesdays,Camo & Krooked,5/20/2015 9:00pm,5/21/2015 2:00am,end,"55352fda846af9640a518a04,55352fda846af9640a518a07,55352fda846af9640a518a05"
553d30885f61dd04261b8679,Foundation Night Club,Resonate Fridays,Sick Individuals,5/22/2015 9:00pm,5/23/2015 2:00am,end,"55352fda846af9640a518a04,55352fda846af9640a518a07,55352fda846af9640a518a05"
553fb2c019043c0b29be84a8,Seattle Center,Discover the Art of Culture,Exhibit essence cural festival,4/28/2015 9:00am,4/28/2015 10:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Pompeii: The Exhibition,Pompeii before eruption,4/28/2015 10:00am,4/28/2015 11:00am,start,553d23a4b294237cdf412333
